GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,9,35,0,0,3,10,1,3,1,3
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,144,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,117,0,4,0,29,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,144,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,144,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,144,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,144,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantCurvePointException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantRuleNameException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantTradeException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantBidlistException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantUserException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service.exceptions,NonExistantRatingException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,87,0,2,0,19,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,87,0,2,0,19,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,0,31,0,2,0,9,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,87,0,2,0,19,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,87,0,2,0,19,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,87,0,2,0,19,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,UserService,0,106,0,2,0,25,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,123,0,0,0,18,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,23,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,31,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,157,43,0,0,55,19,37,10,37,10
spring-boot-skeleton,com.nnk.springboot.domain,Trade,119,40,0,0,51,18,34,10,34,10
spring-boot-skeleton,com.nnk.springboot.domain,User,40,38,0,0,1,16,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,14,43,0,0,6,19,4,10,4,10
